Date,kWh
2020-02-01,7.878
2020-02-02,47.924
2020-02-03,30.465
2020-02-04,2.296
2020-02-05,12.668
2020-02-06,3.81
2020-02-07,12.134
2020-02-08,5.859
2020-02-09,16.461
2020-02-10,3.734
2020-02-11,11.73
2020-02-12,8.13
2020-02-13,9.023
2020-02-14,47.51
2020-02-15,38.728
2020-02-16,21.129
2020-02-17,29.151
2020-02-18,11.596
2020-02-19,53.564
2020-02-20,39.757
2020-02-21,54.401
2020-02-22,54.858
2020-02-23,27.721
2020-02-24,8.584
2020-02-25,6.197
2020-02-26,4.175
2020-02-27,12.904
2020-02-28,37.375
2020-02-29,39.795
2020-03-01,50.931
2020-03-02,4.2
2020-03-03,21.947
2020-03-04,31.455
2020-03-05,48.459
2020-03-06,6.144
2020-03-07,56.034
2020-03-08,56.481
2020-03-09,36.834
2020-03-10,11.533
2020-03-11,9.441
2020-03-12,19.549
2020-03-13,51.405
2020-03-14,3.762
2020-03-15,28.504
2020-03-16,23.352
2020-03-17,10.327
2020-03-18,9.072
2020-03-19,10.128
2020-03-20,19.041
2020-03-21,12.706
2020-03-22,40.813
2020-03-23,11.234
2020-03-24,16.243
2020-03-25,57.023
2020-03-26,42.15
2020-03-27,10.136
2020-03-28,11.67
2020-03-29,48.041
2020-03-30,8.954
2020-03-31,11.834
2020-04-01,16.283
2020-04-02,50.394
2020-04-03,58.728
2020-04-04,50.946
2020-04-05,11.704
2020-04-06,59.596
2020-04-07,38.8
2020-04-08,43.046
2020-04-09,35.077
2020-04-10,28.875
2020-04-11,35.743
2020-04-12,18.675
2020-04-13,13.017
2020-04-14,35.844
2020-04-15,41.555
2020-04-16,51.885
2020-04-17,8.242
2020-04-18,43.721
2020-04-19,29.981
2020-04-20,60.705
2020-04-21,52.987
2020-04-22,32.217
2020-04-23,11.411
2020-04-24,46.432
2020-04-25,44.23
2020-04-26,8.374
2020-04-27,56.579
2020-04-28,24.377
2020-04-29,14.454
2020-04-30,14.571
2020-05-01,24.272
2020-05-02,46.602
2020-05-03,37.993
2020-05-04,57.887
2020-05-05,15.211
2020-05-06,48.409
2020-05-07,45.538
2020-05-08,22.053
2020-05-09,49.658
2020-05-10,32.636
2020-05-11,14.88
2020-05-12,46.201
2020-05-13,60.252
2020-05-14,27.883
2020-05-15,20.911
2020-05-16,45.065
2020-05-17,37.161
2020-05-18,15.814
2020-05-19,11.215
2020-05-20,29.6
2020-05-21,19.235
2020-05-22,29.688
2020-05-23,48.138
2020-05-24,47.277
2020-05-25,54.109
2020-05-26,51.469
2020-05-27,42.472
2020-05-28,35.452
2020-05-29,23.083
2020-05-30,49.197
2020-05-31,61.001
2020-06-01,54.029
2020-06-02,56.908
2020-06-03,46.062
2020-06-04,26.456
2020-06-05,49.264
2020-06-06,55.299
2020-06-07,57.445
2020-06-08,57.571
2020-06-09,50.769
2020-06-10,34.858
2020-06-11,51.638
2020-06-12,58.292
2020-06-13,34.013
2020-06-14,40.347
2020-06-15,33.826
2020-06-16,52.775
2020-06-17,44.136
2020-06-18,31.049
2020-06-19,45.797
2020-06-20,55.327
2020-06-21,43.593
2020-06-22,38.744
2020-06-23,30.217
2020-06-24,42.105
2020-06-25,46.967
2020-06-26,44.221
2020-06-27,22.826
2020-06-28,37.465
2020-06-29,53.342
2020-06-30,45.200
2020-07-01,54.709
2020-07-02,55.500
2020-07-03,52.900
2020-07-04,47.771
2020-07-05,53.312
2020-07-06,50.026
2020-07-07,41.406
2020-07-08,53.600
2020-07-09,41.487
2020-07-10,38.919
2020-07-11,39.895
2020-07-12,29.96
